stack,senior,mid,expert jr,junior
CoffeeScript-developer,968.0287878787879,2204.2,335.7166666666667,335.7166666666667
Haskell-developer,2556.0494636015324,4342.045555555556,1092.5666666666668,1092.5666666666668
Rust-developer,9096.492222222223,12658.3,2408.0833333333335,2408.0833333333335
Clojure-developer,3612.293354700855,5851.031666666667,765.35,765.35
F#-developer,1801.4337643678161,1737.3606481481481,252.93055555555551,151.75833333333333
Raspberry-Pi-developer,1303.93513986014,2194.023076923077,570.0416666666666,342.025
Dart-developer,3320.7671933520605,4739.755208333334,785.0277777777776,471.0166666666667
"Windows-Phone"-developer,431.1666666666667,913.7625,155.08333333333331,93.05
Cordova-developer,3580.3795348551794,10309.239285714288,693.4166666666666,416.05
Redis-developer,29656.86844127698,35923.30669043861,5179.283801111112,699.95817
Arduino-developer,492.13092967543855,878.6563988333334,202.10447555555558,27.313560000000003
Objective-C-developer,72308.22538929383,88027.10401374442,13050.546686666667,1763.7258600000002
Golang-developer,47053.37657985793,63241.42920052083,7640.334861111111,1032.55875
Swift-developer,32850.484895562884,55722.299519963555,10081.449444444446,1362.4650000000001
Cassandra-developer,60566.76283808777,70376.98383019032,6997.816521111111,945.7251300000001
Matlab-developer,14438.860387634408,21140.130718333334,4288.040650000001,579.5104500000001
Scala-developer,79821.8454366734,92305.74673824054,9235.233566666662,374.0761799999999
LAMP-developer,6197.311173312689,17076.239583600003,1758.9151999999995,71.24544
ReactJS-developer,22156.28595726818,41361.16319642857,3149.59787037037,127.57550000000002
Node.js-developer,84950.99117202195,126409.81234090909,11292.95833333333,457.425
AngularJS-developer,42347.71910251299,79672.89995192307,7065.662777777775,286.197
MongoDB-developer,71706.0037258365,95570.67080434783,12261.596296296295,496.66
R-developer,26806.797591081882,49482.786001666675,6369.54747037037,258.00062
Perl-developer,59210.15009601691,89045.24817335767,7405.741481481479,299.972
Ruby-developer,78615.40208226212,122220.65929818887,13832.525370370366,560.291
"Visual-Basic"-developer,5060.579385926175,15105.495371198629,1837.6686428806584,32.073753333333336
Spark-developer,104624.67313866854,119106.52088262711,10556.098140246913,184.24088000000003
Azure-developer,187898.96078135874,237561.65757946268,16909.595946502057,295.13166666666666
AWS-developer,478814.63395177195,548648.9090978649,39038.10631687243,681.3516666666667
C-developer,167749.7130683954,216311.22222580644,27234.276537037033,475.3335000000001
WordPress-developer,6332.144476607054,31677.11911484873,4435.881502057612,77.42166666666668
C#-developer,300083.4119006565,510121.9142195122,49287.61574691357,860.2415000000001
C++-developer,171674.9336751893,235854.77080611227,28597.145337448557,499.1203333333334
Hadoop-developer,121123.96442631556,164038.38738516023,14679.839228683128,256.21460333333334
JavaScript-developer,358424.7386739442,587063.722191886,64809.28583950616,1131.1490000000003
iOS-developer,64776.94797932726,122470.70723987429,14711.231018518516,256.76250000000005
PHP-developer,72257.49231933015,173447.00421954793,22238.52649588477,388.14016666666663
Android-developer,75539.98617403537,129214.41657582323,13452.214609053497,132.506
Python-developer,410684.47077443847,567599.2978222582,59221.69987997256,583.3411666666666
"SQL-Server"-developer,132115.6579681725,211833.7082120243,12322.838117283949,121.3815
Salesforce-developer,69645.52858672425,112672.3813083531,8477.878583676269,83.50816666666667
SQL-developer,357174.27120226785,576703.7456252392,38818.99816666666,258.2195
Java-developer,449275.0542375079,546727.1367432007,42476.645749999996,282.54975
SharePoint-developer,30897.256718881512,52689.80672227394,3149.8432593926223,15.450608333333332
