Stack,Impact - Senior (7.5 years),Jobs - Senior,Avg. Salary - Senior (7.5 years),Chance of Hire - Senior (7.5 years),Impact - Mid (3.5 years),Jobs - Mid,Avg. Salary - Mid,Chance of Hire - Mid (3.5 years),Impact - Junior (0.25 year),Jobs - Junior (0.25 year),Avg. Salary - Junior (0.25 year),Chance of Hire - Junior (0.25 year),Impact - New (0 years),Jobs - Entry Level,Avg. Salary - New (0 years),Chance of Hire - New (0 years),Impact Total (All),Impact Category (All),Log Jobs (Senior),Salary Category (Senior),Log Jobs (Mid),Salary Category (Mid),Log Jobs (Entry),Salary Category (Entry),Chance of Hire Category (Senior),Chance of Hire Category (Mid),Chance of Hire Category (Junior),Chance of Hire Category (New),ResumeRank (Senior),ResumeRank (Mid),ResumeRank (Junior),ResumeRank Total,ResumeRank (Final),Impact Category (Senior),Impact Category (Mid),Impact Category (Junior)
Python,33983.64792479560,5604,121426.21341898600,0.08179459693627540,4209.725468529980,14676,108998.70536931000,0.10204836848692400,46.83659336843660,4865,96357.14285714290,0.004862926809474740,46.83659336843660,4865,96357.14285714290,0.004862926809474740,"38,287.05",5,3,4,5,3,3,3,1,2,1,1,3,2,1,6,1,5,5,5
JavaScript,32541.764477691500,4782,117828.83730656600,0.08127496008807900,3996.1503394234600,15244,100982.02571503500,0.10144593403205500,43.49589041647020,5052,86740.39984164690,0.0048310625058628800,43.49589041647020,5052,86740.39984164690,0.0048310625058628800,"36,624.91",5,3,3,5,3,3,2,1,2,1,1,4,3,2,9,2,5,5,5
AWS,30065.221925451200,5454,124672.71727172700,0.10052069316819400,4247.240950207700,12232,114641.71844342700,0.12352675710772900,36.49859491911150,2760,105846.01449275400,0.006080954394040410,36.49859491911150,2760,105846.01449275400,0.006080954394040410,"34,385.46",5,3,4,5,3,2,3,2,2,1,1,5,1,5,11,3,5,5,5
C#,28737.20137445900,3968,113901.83971774200,0.09499642149807940,3972.1511309638800,13395,101237.4020156780,0.11724212503851600,39.20152756941040,3782,88412.21575885780,0.005706218317333360,39.20152756941040,3782,88412.21575885780,0.005706218317333360,"32,787.76",5,2,3,5,3,2,2,1,2,1,1,6,4,4,14,5,5,5,5
SQL,35316.55408079570,5121,111318.59011911700,0.058363995735936600,3071.012101426180,17163,98265.16343296630,0.07450499878078220,26.98323204699860,4418,84601.62969669530,0.0035137326970905000,26.98323204699860,4418,84601.62969669530,0.0035137326970905000,"38,441.53",5,3,3,5,3,3,2,1,1,1,1,1,5,8,14,5,5,5,4
Java,34655.2229601769,6266,119066.39004149400,0.05701389988616910,3005.3747231957200,15268,107755.59994760300,0.07289120604293880,29.497775537078800,4445,93868.95388076490,0.003440921110230010,29.497775537078800,4445,93868.95388076490,0.003440921110230010,"37,719.59",5,4,3,5,3,3,2,1,1,1,1,2,6,7,15,6,5,5,4
C++,13888.699011906500,2306,118888.76843018200,0.08908592452760350,1842.9204096890500,6045,107827.54342431800,0.11046558803717500,19.922987405036700,2026,89959.27936821320,0.005320448502684100,19.922987405036700,2026,89959.27936821320,0.005320448502684100,"15,771.47",4,2,3,4,3,2,2,1,2,1,1,7,8,9,24,7,3,3,3
Azure,13553.96960145180,2561,118794.41624365500,0.11872368430349300,2201.092902800950,5783,107963.42728687500,0.14407251475193900,19.12731639855750,1266,99310.8214849921,0.0074046230438893000,19.12731639855750,1266,99310.8214849921,0.0074046230438893000,"15,793.32",4,2,3,3,3,1,3,2,2,1,1,8,7,10,25,8,3,4,3
C,12196.5775162271,2402,115533.93005828500,0.08948211587151770,1626.8330141636600,5612,101391.66072701400,0.11092109939095300,17.899232222970300,1967,82849.5170310117,0.005345880592497830,17.899232222970300,1967,82849.5170310117,0.005345880592497830,"13,859.21",3,2,3,3,3,1,2,1,2,1,1,9,9,11,29,9,3,3,3
PHP,9653.706874442680,1069,111094.15341440600,0.0917691244141542,1360.99647156796,5021,91436.96474805820,0.11354692889833000,16.55572519780400,1978,74151.92113245700,0.005493874153829220,16.55572519780400,1978,74151.92113245700,0.005493874153829220,"11,047.81",3,1,3,3,2,1,2,1,2,1,1,11,11,12,34,10,2,3,3
Objective-C,4312.450984537120,823,114456.56136087500,0.2586171019512530,1496.2844710883400,1882,99944.2082890542,0.293946173366683,29.884356666180200,685,85842.77372262770,0.024735961138532300,29.884356666180200,685,85842.77372262770,0.024735961138532300,"5,868.50",2,1,3,1,3,1,2,3,3,1,1,21,10,6,37,11,2,3,4
Ruby,6206.304528306340,946,123406.44820296000,0.14715049417903100,1267.7770506712600,2586,110174.01392111400,0.17556174132872500,14.432963712897200,757,94630.11889035670,0.009806396451931760,14.432963712897200,757,94630.11889035670,0.009806396451931760,"7,502.95",2,1,4,2,3,1,2,2,2,1,1,17,12,14,43,12,2,2,3
Hadoop,8487.06370879288,1403,123683.1789023520,0.10147679704153000,1229.8832782742200,3505,113380.8844507850,0.12461450399900400,11.539706999846400,913,100082.14676889400,0.006146764641275240,11.539706999846400,913,100082.14676889400,0.006146764641275240,"9,740.03",2,1,4,2,3,1,3,2,2,1,1,12,14,23,49,15,2,2,2
Android,7610.03090675897,1112,118053.59712230200,0.09215209088911790,1059.2361082422100,3484,102870.98163031,0.11398603837243200,12.277163620006600,1185,91371.30801687760,0.005518855762761130,12.277163620006600,1185,91371.30801687760,0.005518855762761130,"8,693.82",2,1,3,2,3,1,2,1,2,1,1,14,18,17,49,15,2,2,2
SQL-Server,12102.556007727500,1763,109305.16165626800,0.07139817312749590,1234.0639848844400,6007,96002.16414183450,0.08992563728427170,9.020724391499340,1234,83853.32252836310,0.00424311860433009,9.020724391499340,1234,83853.32252836310,0.00424311860433009,"13,354.66",3,1,3,4,3,1,2,1,1,1,1,10,13,26,49,15,3,2,2
Scala,4837.086531722600,797,126452.32120451700,0.18571698572251400,1176.4746658423600,1825,118893.1506849320,0.2173100740782550,13.364040515693700,440,106613.63636363600,0.01386601108462680,13.364040515693700,440,106613.63636363600,0.01386601108462680,"6,040.29",2,1,4,1,3,1,3,2,3,1,1,20,15,16,51,16,2,2,2
iOS,6616.070367496520,951,115567.82334384900,0.0972492553921652,979.0574203958900,3091,100740.86056292500,0.11981467836665900,12.00248874355640,1167,85469.15167095120,0.005856932923541910,12.00248874355640,1167,85469.15167095120,0.005856932923541910,"7,619.13",2,1,3,2,3,1,2,1,2,1,1,15,19,19,53,17,2,2,2
Node.js,6143.350840627360,995,121942.21105527600,0.1380778821651010,1167.0830068987600,2624,107591.46341463400,0.16558285918823300,11.995496874157600,692,93835.47687861270,0.008991336975366590,11.995496874157600,692,93835.47687861270,0.008991336975366590,"7,334.42",2,1,4,2,3,1,2,2,2,1,1,18,16,20,54,18,2,2,2
Spark,6408.444493512860,1094,125514.16819012800,0.13200843557531300,1163.3456961121500,2500,117562.0,0.15887103422912000,11.55904617989910,625,106248.0,0.008472282142429740,11.55904617989910,625,106248.0,0.008472282142429740,"7,594.91",2,1,4,2,3,1,3,2,2,1,1,16,17,22,55,19,2,2,2
Go,2961.0534482657100,491,125942.15885947000,0.24076333176659900,948.6939196920470,1153,114377.710320902,0.2752007957584080,15.825024769052600,324,109465.43209876500,0.021717087686493500,15.825024769052600,324,109465.43209876500,0.021717087686493500,"3,941.40",1,1,4,1,3,1,3,3,3,1,1,26,20,13,59,20,1,2,3
MongoDB,5089.838853470370,934,123260.17130621000,0.12532742638545600,909.2202617186170,2142,108997.43230625600,0.1514478357536380,10.369354755229200,721,88339.11234396670,0.007923966474019960,10.369354755229200,721,88339.11234396670,0.007923966474019960,"6,019.80",2,1,4,2,3,1,2,2,2,1,1,19,21,24,64,21,2,2,2
Swift,2955.0410340069100,498,121960.140562249,0.19253281960496600,811.6075489092510,1277,103578.70007830900,0.22458938606352300,13.961093779362100,541,85480.59149722740,0.01469379081909640,13.961093779362100,541,85480.59149722740,0.01469379081909640,"3,794.57",1,1,4,1,3,1,2,2,3,1,1,27,23,15,65,23,1,2,2
Salesforce,7691.146405315110,1096,117718.97810219000,0.07882381610907750,865.803792227917,3676,99175.73449401520,0.09859944529539090,6.821893525148460,914,77589.38730853390,0.004682045296185890,6.821893525148460,914,77589.38730853390,0.004682045296185890,"8,570.59",2,1,3,2,3,1,2,1,1,1,1,13,22,30,65,23,2,2,2
Rust,429.6163807256520,92,124391.30434782600,0.3836260179031120,308.51870662577600,192,114448.4375,0.40663673237432700,40.579590289626600,99,99981.81818181820,0.19954030213338900,40.579590289626600,99,99981.81818181820,0.19954030213338900,819.29,1,1,4,1,3,1,3,4,5,2,2,34,30,3,67,24,1,1,5
Cassandra,3051.0916829122100,635,126263.77952755900,0.17499699710226300,716.5517032353180,1167,115484.14738646100,0.20579835794257100,9.090016112524360,328,106752.28658536600,0.012635511155407000,9.090016112524360,328,106752.28658536600,0.012635511155407000,"3,785.82",1,1,4,1,3,1,3,2,3,1,1,25,24,25,74,25,1,2,2
Redis,1881.4325707366900,326,121868.55828220900,0.26699705016875400,653.8351790404520,739,110813.32882273300,0.3027198077263580,12.102963965841200,224,100159.82142857100,0.026256048910465500,12.102963965841200,224,100159.82142857100,0.026256048910465500,"2,559.47",1,1,4,1,3,1,3,3,4,1,1,30,27,18,75,26,1,2,2
Perl,4158.3937209380900,706,116178.75354107600,0.1247277588487760,708.0518261364,1795,107137.88300835700,0.1507796930417190,6.252558931926960,418,92440.19138755980,0.007875894108042150,6.252558931926960,418,92440.19138755980,0.007875894108042150,"4,878.95",1,1,3,1,3,1,2,2,2,1,1,22,25,32,79,27,2,2,2
AngularJS,3821.9401194407000,546,113891.9413919410,0.13468802382542100,707.3993854679140,1740,102127.8735632180,0.1618378844004670,6.808099603816450,417,91348.92086330940,0.008698925613098490,6.808099603816450,417,91348.92086330940,0.008698925613098490,"4,542.96",1,1,3,1,3,1,2,2,2,1,1,23,26,31,80,28,2,2,2
R,2592.2624044240100,367,112847.13896457800,0.1331616047780320,493.43444735356000,1195,101004.18410041800,0.1601485444619430,5.727152890638770,405,80318.51851851850,0.008569337683088020,5.727152890638770,405,80318.51851851850,0.008569337683088020,"3,097.15",1,1,3,1,3,1,2,2,2,1,1,28,28,33,89,29,1,2,2
ReactJS,2139.8498293952200,295,116682.37288135600,0.16540498760805600,485.76204377053900,938,105389.12579957400,0.19542804850981200,5.657492533627000,251,94528.08764940240,0.011605626464728100,5.657492533627000,251,94528.08764940240,0.011605626464728100,"2,636.93",1,1,3,1,3,1,2,2,2,1,1,29,29,34,92,30,1,2,2
Haskell,132.83153067747000,23,121321.73913043500,0.40234378571279000,93.56332703163120,49,118003.0612244900,0.4349448082662700,11.882453778669100,38,107531.57894736800,0.1415356052849550,11.882453778669100,38,107531.57894736800,0.1415356052849550,250.16,1,1,4,1,3,1,3,5,5,2,2,40,37,21,98,31,1,1,2
WordPress,1770.2228011851000,118,102475.0,0.10841223834643200,297.96905039595900,1142,74509.63222416810,0.13247521709727200,3.961830791777200,480,60536.458333333300,0.0066361603130820000,3.961830791777200,480,60536.458333333300,0.0066361603130820000,"2,076.12",1,1,3,1,2,1,1,2,2,1,1,31,31,37,99,33,1,1,1
