stack,senior,mid,expert jr,junior
CoffeeScript-developer,956.02,2008.7333333333331,305.93333333333334,305.93333333333334
Clojure-developer,3911.470707070707,4342.850000000001,697.1249999999999,418.275
Rust-developer,8793.64054307116,11230.202808988763,2453.722222222222,1472.2333333333331
Haskell-developer,2739.288293650794,3651.491452991453,1178.236111111111,706.9416666666667
F#-developer,2313.576759530792,1780.2647727272727,294.125,176.475
Raspberry-Pi-developer,921.1959102564103,3030.788333333333,536.4305555555557,321.85833333333335
"Windows-Phone"-developer,213.85539215686273,1008.7541666666667,111.65277777777777,66.99166666666667
Dart-developer,3219.3433390022674,5172.542283950617,643.986111111111,386.3916666666667
Cordova-developer,2284.196459851681,8402.644191919191,823.6805555555555,494.2083333333333
Arduino-developer,484.4006189285714,1252.249295277778,228.08642555555556,30.824909999999996
Objective-C-developer,69954.96394212994,87009.16505715302,11921.084715555558,1611.0838800000001
Redis-developer,30647.581571531086,37712.333242089204,4761.52348,643.49964
Go-developer,41811.697136688796,61838.547212206075,6822.826106666666,922.0759199999999
Swift-developer,28614.949108353914,48296.661003333335,8010.546829629627,324.46984000000003
Cassandra-developer,53380.71868783103,54166.90398095744,5808.975807407406,235.29448
Matlab-developer,12986.019739172878,19010.16928891705,3393.919792592592,137.47184
Scala-developer,71491.58703917044,90532.1310268868,8620.436940740738,349.17364000000003
LAMP-developer,5445.579754746446,15607.369939333334,1709.7843814814812,69.25538
ReactJS-developer,20157.10888116723,39539.51958923077,3134.2497666666663,126.95382000000002
Node.js-developer,77130.4356159202,113821.49992826086,10290.077962962961,416.803
AngularJS-developer,38586.164977483066,74115.48848210595,6656.9866814814795,269.64344000000006
Ruby-developer,73952.39659798409,114132.91640254238,12587.602777777776,509.8649999999999
R-developer,27524.438524952475,46683.4083170801,6085.579407407406,246.4984
MongoDB-developer,68749.64722393258,86050.72875442478,11144.730925925925,451.42100000000005
Perl-developer,54612.32353739052,76653.62487954834,5916.283544032921,103.25986666666667
Spark-developer,93605.68779337467,109023.90976977847,9240.571510288066,161.28033333333332
"Visual-Basic"-developer,4697.241871506782,184.26374813468993,1677.2486881893003,29.273863333333335
Azure-developer,181085.10747739364,233577.4324652778,15660.65843621399,273.3333333333333
WordPress-developer,6263.006277512087,30640.76266272936,4147.944636049382,72.39616000000001
AWS-developer,438055.2473838162,524142.43535969954,39422.57548148148,688.062
Hadoop-developer,110198.5578844729,152761.14191779442,13116.545321604937,228.92965000000007
C#-developer,293071.3543025285,495148.4603690863,47587.25975720164,830.5643333333334
C-developer,158650.15927172292,206565.23592839803,24778.685294238683,432.4748333333334
C++-developer,165777.46648162205,231782.71598943876,27201.780670781893,474.76633333333336
iOS-developer,62900.519734820045,114239.9326144663,13419.61821399177,234.21933333333337
PHP-developer,65456.07279725107,153766.19231229764,17639.87705761317,173.75499999999997
Android-developer,74193.16092250744,124100.61593534044,12208.389489026062,120.25416666666666
JavaScript-developer,323045.7534060424,512757.689009485,50839.94528463648,500.77983333333333
Python-developer,402070.5322133986,548616.9608198843,56026.46135116598,551.8676666666667
Salesforce-developer,63637.210139775365,105664.44542881947,8620.939368998628,84.91733333333333
"SQL-Server"-developer,116269.19569313848,199614.84497788025,11657.042866941012,114.82333333333332
SQL-developer,324593.874656344,525658.3404365809,36336.01766666666,241.703
Java-developer,408469.5600974837,506943.3762708938,39636.134999999995,263.655
SharePoint-developer,29594.979054069237,50208.25262953616,3013.063898190062,14.779678333333331
