Stack,Impact - Senior (7.5 years),Jobs - Senior,Avg. Salary - Senior (7.5 years),Chance of Hire - Senior (7.5 years),Impact - Mid (3.5 years),Jobs - Mid,Avg. Salary - Mid,Chance of Hire - Mid (3.5 years),Impact - Junior (0.25 year),Jobs - Junior (0.25 year),Avg. Salary - Junior (0.25 year),Chance of Hire - Junior (0.25 year),Impact - New (0 years),Jobs - Entry Level,Avg. Salary - New (0 years),Chance of Hire - New (0 years),Impact Total (All),Impact Category (All),Log Jobs (Senior),Salary Category (Senior),Log Jobs (Mid),Salary Category (Mid),Log Jobs (Entry),Salary Category (Entry),Chance of Hire Category (Senior),Chance of Hire Category (Mid),Chance of Hire Category (Junior),Chance of Hire Category (New),ResumeRank (Senior),ResumeRank (Mid),ResumeRank (Junior),ResumeRank Total,ResumeRank (Final),Impact Category (Senior),Impact Category (Mid),Impact Category (Junior)
Python,29191.581025362000,4884,126064.70106470100,0.07762123292068320,3477.0729710980700,13037,105447.57229423900,0.09719995750230250,39.990610071707900,4037,104593.7577408970,0.004609700466341030,39.990610071707900,4037,104593.7577408970,0.004609700466341030,"32,748.64",5,3,4,5,3,3,3,1,1,1,1,3,1,3,7,1,5,5,3
JavaScript,30276.31762983960,4162,112275.9490629510,0.07487076569082140,3361.951358990380,13059,110346.31288766400,0.0939916589290602,31.85877630893770,4113,84795.16168247020,0.0044460925716171100,31.85877630893770,4113,84795.16168247020,0.0044460925716171100,"33,701.99",5,3,3,5,3,3,2,1,1,1,1,1,2,5,8,2,5,5,3
AWS,24695.664178768100,5000,121259.5,0.09223825579071190,3202.6529460788600,10976,104445.60860058300,0.11408481184328000,26.75695129824200,2281,103347.21613327500,0.005524484415076390,26.75695129824200,2281,103347.21613327500,0.005524484415076390,"27,951.83",5,3,4,5,3,2,3,1,2,1,1,5,3,7,15,3,5,5,2
C#,24326.87332260410,3450,97910.14492753620,0.08983000509109250,3128.9944099395100,11957,96521.49368570710,0.1113209234755680,27.017780905962,2949,83065.4459138691,0.005368261888696040,27.017780905962,2949,83065.4459138691,0.005368261888696040,"27,509.90",5,2,3,5,3,2,2,1,2,1,1,6,4,6,16,4,5,5,2
Java,29578.30895170190,5401,109583.41047954100,0.05536231131368440,2409.9029626450600,13164,106954.38316621100,0.07091253104756970,19.246368774896000,3718,75153.98063474990,0.0033524832861052300,19.246368774896000,3718,75153.98063474990,0.0033524832861052300,"32,026.70",5,3,3,5,3,2,2,1,1,1,1,2,5,10,17,5,5,4,2
SQL,27896.079641977100,4288,108746.50186567200,0.055608548928925100,2353.9844756132600,14697,90686.19446145470,0.07120785363960770,22.503365714236000,3688,88240.91648590020,0.003365625178933560,22.503365714236000,3688,88240.91648590020,0.003365625178933560,"30,295.07",5,3,3,5,2,2,2,1,1,1,1,4,6,8,18,6,5,4,2
C++,13067.222375204900,2129,121052.13715359300,0.08284682756875420,1655.272546048250,5492,111998.36125273100,0.10326719012852200,19.279635524963500,1707,111556.82483889900,0.004927746361586570,19.279635524963500,1707,111556.82483889900,0.004927746361586570,"14,761.05",3,2,4,3,3,1,3,1,2,1,1,7,8,9,24,7,3,3,2
Azure,11506.87644323870,2243,121169.19304502900,0.10895973565496900,1715.9035751388000,5160,103079.45736434100,0.1330936122911000,13.73457352616460,997,100438.81644934800,0.006675712521937150,13.73457352616460,997,100438.81644934800,0.006675712521937150,"13,250.25",3,2,4,3,3,1,3,2,2,1,1,8,7,13,28,8,3,3,2
C,11485.90229914120,2170,114103.6866359450,0.08251789312021280,1410.485414078860,5019,107393.40506076900,0.10288633113894900,14.63752623474410,1593,91133.08223477720,0.0049074405159115800,14.63752623474410,1593,91133.08223477720,0.0049074405159115800,"12,925.66",3,2,3,3,3,1,2,1,2,1,1,9,9,11,29,9,3,3,2
PHP,9057.754976294910,898,108750.0,0.08913155516326270,1179.3418563608600,4223,102372.72081458700,0.11051806023412100,11.168838313445000,1673,61038.55349671250,0.005323374528283560,11.168838313445000,1673,61038.55349671250,0.005323374528283560,"10,259.43",2,1,3,3,3,1,1,1,2,1,1,11,10,14,35,10,2,3,2
Objective-C,3900.708451916740,747,124066.26506024100,0.23190333578712400,1124.3521467995600,1690,99994.08284023670,0.2661462552489120,14.099013062026600,490,69308.97959183670,0.020206091732230100,14.099013062026600,490,69308.97959183670,0.020206091732230100,"5,053.26",1,1,4,1,3,1,1,3,3,1,1,19,11,12,42,11,2,3,2
Hadoop,7600.185370074860,1238,128679.32148626800,0.09664480099287180,1024.6519335234700,3061,115842.0450833060,0.11912498800044500,8.289965949773450,666,104162.53753753800,0.0058162914235501,8.289965949773450,666,104162.53753753800,0.0058162914235501,"8,641.42",2,1,4,2,3,1,3,1,2,1,1,12,12,20,44,12,2,2,1
SQL-Server,10565.194213652200,1410,97563.82978723410,0.06700193555859890,1012.5565019257900,5231,96915.02580768500,0.08475217311288810,7.059981277538580,978,88021.47239263800,0.003991675770928240,7.059981277538580,978,88021.47239263800,0.003991675770928240,"11,591.87",3,1,3,3,3,1,2,1,1,1,1,10,13,26,49,13,3,2,1
Spark,5461.629939317580,945,130633.49206349200,0.12167336452136400,906.9857271034020,2184,114950.77838827800,0.14737163612990600,7.997802830446700,522,97686.30268199230,0.007633886705597450,7.997802830446700,522,97686.30268199230,0.007633886705597450,"6,384.61",2,1,4,2,3,1,3,2,2,1,1,15,14,21,50,14,2,2,1
Ruby,4800.205509680010,862,137856.72853828300,0.13793160761979900,900.0109601024550,2240,97006.69642857140,0.16542144984730900,9.085210478350920,603,81674.95854063020,0.008978586079234440,9.085210478350920,603,81674.95854063020,0.008978586079234440,"5,718.39",2,1,4,2,3,1,2,2,2,1,1,18,15,18,51,16,2,2,1
