Stack,Impact - Senior (7.5 years),Jobs - Senior,Avg. Salary - Senior (7.5 years),Chance of Hire - Senior (7.5 years),Impact - Mid (3.5 years),Jobs - Mid,Avg. Salary - Mid,Chance of Hire - Mid (3.5 years),Impact - Junior (0.25 year),Jobs - Junior (0.25 year),Avg. Salary - Junior (0.25 year),Chance of Hire - Junior (0.25 year),Impact - New (0 years),Jobs - Entry Level,Avg. Salary - New (0 years),Chance of Hire - New (0 years)
GAE,56.08563445101907,4,129700.0,1.0,56.08563445101907,14,141514.2857142857,1.0,56.08563445101907,2,114900.0,1.0,56.08563445101907,2,114900.0,1.0,
CoffeeScript,96.51955950032873,8,116725.0,1.0,96.51955950032873,31,106975.80645161291,1.0,96.51955950032873,5,89550.0,1.0,96.51955950032873,5,89550.0,1.0,
Rust,344.15386905272504,68,128998.5294117647,0.3836260179031119,246.37799838829199,160,111279.375,0.40663673237432735,32.074160313027456,73,107171.91780821918,0.19954030213338858,32.074160313027456,73,107171.91780821918,0.19954030213338858,
Haskell,135.1290571313808,17,125579.41176470589,0.4121607928887583,83.5511563932948,49,116267.3469387755,0.44982397323493584,7.002823024417047,28,109808.92857142857,0.11085535011933931,7.002823024417047,28,109808.92857142857,0.11085535011933931,
Clojure,185.3719148186594,20,111962.5,0.41302750387575804,93.48578617074074,72,112465.97222222222,0.4521044876677401,3.318378380771974,15,107233.33333333333,0.10041163353990272,3.318378380771974,15,107233.33333333333,0.10041163353990272,
F#,83.82508084266806,10,124480.0,0.40077469053208514,38.48881253259874,32,111907.8125,0.4415873692150831,0.7597169424464724,4,124462.5,0.07427326106810225,0.7597169424464724,4,124462.5,0.07427326106810225,
Raspberry-Pi,121.8157381431505,11,134004.54545454544,0.35094847997247086,58.47406485097201,51,106111.76470588235,0.3907227715813416,1.805836687254197,21,89959.52380952382,0.04652551848293479,1.805836687254197,21,89959.52380952382,0.04652551848293479,
"Windows-Phone",42.41855402577384,3,155900.0,0.3427322248074927,19.54775772305451,18,105794.44444444444,0.38209495945385813,0.5353128676170315,5,118610.0,0.04393347591713372,0.5353128676170315,5,118610.0,0.04393347591713372,
Dart,163.63433235405554,20,114037.5,0.3388403921239029,72.93819671128253,84,85614.28571428571,0.37800701018663607,1.903803584215372,21,103154.76190476191,0.04277526972922358,1.903803584215372,21,103154.76190476191,0.04277526972922358,
Cordova,289.27424771494253,28,112037.5,0.28806002097663125,101.17180705829196,136,97387.86764705883,0.3247550019410595,1.1434974654133352,18,101755.55555555556,0.03038671578761621,1.1434974654133352,18,101755.55555555556,0.03038671578761621,
Arduino,46.71517282514415,4,101100.0,0.27328795595090283,18.812354552774316,22,99281.81818181818,0.30930168037067435,0.4723639832433659,9,93088.88888888889,0.02744199068085594,0.4723639832433659,9,93088.88888888889,0.02744199068085594,
Objective-C,3900.708451916741,747,124066.26506024097,0.23190333578712422,1124.3521467995615,1690,99994.08284023669,0.2661462552489121,14.099013062026614,490,69308.97959183673,0.020206091732230102,14.099013062026614,490,69308.97959183673,0.020206091732230102,
Redis,1455.6751892520779,276,119424.81884057971,0.22530236623988356,445.3069584621201,612,103947.22222222222,0.25922540749907363,7.964488047782103,188,107433.77659574468,0.019192801219041444,7.964488047782103,188,107433.77659574468,0.019192801219041444,
Go,2653.245506941149,454,111172.79735682819,0.20065298050682553,709.5437615028825,1047,113797.61222540592,0.23322427624416725,9.58731061487926,282,105212.23404255319,0.015727534256068144,9.58731061487926,282,105212.23404255319,0.015727534256068144,
