web-scraper-order,web-scraper-start-url,jobs_entry,jobs_senior,jobs_mid,Entry Level,Entry Level-href,salaries_entry,Senior Level,Senior Level-href,salaries_senior,Mid Level,Mid Level-href,salaries_mid,job search,job search-href,resume search,resume search-href,resumes
"1575752417-386","https://github.com/tb0yd/job_dollars/wiki","","Senior Level (6147)","","","","","","","","","","","https://www.indeed.com/jobs?q=Java+developer&l=united+states","https://www.indeed.com/jobs?q=Java+developer&l=united+states","","",""
"1575752108-242","https://github.com/tb0yd/job_dollars/wiki","","","","","","","","","","","","","","","https://resumes.indeed.com/search?q=Spark&l=united+states&searchFields=jt%2Cskills","https://resumes.indeed.com/search?q=Spark&l=united+states&searchFields=jt%2Cskills","4,453 resumes"
"1575752128-250","https://github.com/tb0yd/job_dollars/wiki","","","","","","","","","","","","","","","https://resumes.indeed.com/search?q=""SQL+Server""&l=united+states&searchFields=jt%2Cskills","https://resumes.indeed.com/search?q=%22SQL+Server%22&l=united+states&searchFields=jt%2Cskills","54,053 resumes"
"1575752503-427","https://github.com/tb0yd/job_dollars/wiki","","","Mid Level (28808)","","","","","","","","","","https://www.indeed.com/jobs?q=JavaScript&l=united+states","https://www.indeed.com/jobs?q=JavaScript&l=united+states","","",""
"1575752366-363","https://github.com/tb0yd/job_dollars/wiki","","","Mid Level (13115)","","","","","","","","","","https://www.indeed.com/jobs?q=Azure&l=united+states","https://www.indeed.com/jobs?q=Azure&l=united+states","","",""
"1575752442-399","https://github.com/tb0yd/job_dollars/wiki","","","Mid Level (16255)","","","","","","","","","","https://www.indeed.com/jobs?q=C%23&l=united+states","https://www.indeed.com/jobs?q=C%23&l=united+states","","",""
"1575752527-436","https://github.com/tb0yd/job_dollars/wiki","","","","Entry Level (3951)","https://www.indeed.com/jobs?q=iOS&l=united+states&explvl=entry_level","$30,000+ (3256)$40,000+ (2454)$50,000+ (1958)$70,000+ (1300)$90,000+ (716)","","","","","","","https://www.indeed.com/jobs?q=iOS&l=united+states","https://www.indeed.com/jobs?q=iOS&l=united+states","","",""
"1575752275-319","https://github.com/tb0yd/job_dollars/wiki","","","Mid Level (109)","","","","","","","","","","https://www.indeed.com/jobs?q=Raspberry+Pi&l=united+states","https://www.indeed.com/jobs?q=Raspberry+Pi&l=united+states","","",""
"1575752494-422","https://github.com/tb0yd/job_dollars/wiki","","Senior Level (1532)","","","","","","","","","","","https://www.indeed.com/jobs?q=PHP&l=united+states","https://www.indeed.com/jobs?q=PHP&l=united+states","","",""
"1575752426-391","https://github.com/tb0yd/job_dollars/wiki","","","Mid Level (461)","","","","","","","","","","https://www.indeed.com/jobs?q=Dart&l=united+states","https://www.indeed.com/jobs?q=Dart&l=united+states","","",""
"1575752417-387","https://github.com/tb0yd/job_dollars/wiki","","","Mid Level (14911)","","","","","","","","","","https://www.indeed.com/jobs?q=Java+developer&l=united+states","https://www.indeed.com/jobs?q=Java+developer&l=united+states","","",""
"1575752384-369","https://github.com/tb0yd/job_dollars/wiki","Entry Level (8788)","","","","","","","","","","","","https://www.indeed.com/jobs?q=C%2B%2B&l=united+states","https://www.indeed.com/jobs?q=C%2B%2B&l=united+states","","",""
"1575752341-350","https://github.com/tb0yd/job_dollars/wiki","","Senior Level (3005)","","","","","","","","","","","https://www.indeed.com/jobs?q=Spark&l=united+states","https://www.indeed.com/jobs?q=Spark&l=united+states","","",""
"1575752485-418","https://github.com/tb0yd/job_dollars/wiki","","Senior Level (12839)","","","","","","","","","","","https://www.indeed.com/jobs?q=SQL&l=united+states","https://www.indeed.com/jobs?q=SQL&l=united+states","","",""
