stack,SDLC2Year,SDLC3Year,SDLC5Year,SDLCOngoingAnnual,AgileFirstYear,AgileOngoingAnnual
Rust-developer,1820997.5726462612,2731496.358969392,4552493.931615653,234258.6206896552,521087.9310344828,1000530.918248741
iOS-developer,1351800.7747076119,2027701.162061418,3379501.9367690305,115753.94736842105,479919.2434777091,784842.2993618014
Cassandra-developer,2104329.8265939415,3156494.739890912,5260824.566484854,239270.98570960914,694416.0378782284,1218002.3036766846
"SQL-Server"-developer,1568842.1028894307,2353263.1543341465,3922105.257223577,203416.08722755028,449394.7278041461,861820.8796289966
Raspberry-Pi-developer,1232988.2272727273,1849482.340909091,3082470.5681818174,120631.81818181818,431493.88111888105,728310.6083916083
WordPress-developer,1053000.8225283008,1579501.233792451,2632502.0563207516,103117.69911504425,376473.84596986364,622273.3304222465
Hadoop-developer,2057224.7446468438,3085837.1169702657,5143061.86161711,236751.97855118412,679546.8644908362,1189584.974117859
Swift-developer,1354082.3480531813,2031123.5220797723,3385205.8701329534,115862.08791208791,480525.9361009361,786088.8210554877
LAMP-developer,1225152.4826831936,1837728.7240247906,3062881.206707984,111209.61538461539,435890.25246080937,716611.5505377324
Arduino-developer,1314368.8988095238,1971553.348214286,3285922.2470238092,119058.33333333333,463989.2857142857,768495.5357142857
ReactJS-developer,1731951.0161443492,2597926.524216525,4329877.540360874,225296.41716308382,496766.1745661745,951237.3284123284
PHP-developer,1241039.6641467859,1861559.496220179,3102599.1603669645,114212.69379844962,444934.3784943878,727296.3225919543
Salesforce-developer,1779217.9108117109,2668826.8662175667,4448044.777029277,214245.2774765901,587217.2451786804,1024974.0502824544
C#-developer,1672808.861667005,2509213.292500508,4182022.1541675124,215669.32743551157,476932.9043034145,919532.6459836646
C++-developer,1739044.4526643658,2608566.678996549,4347611.131660914,225669.35475067026,498535.1812834095,955216.8202584176
SQL-developer,1299818.6496665494,1949727.974499824,3249546.6241663727,111050.24459845088,461203.17324409547,754443.9840155796
Azure-developer,1546543.21242789,2319814.818641835,3866358.031069724,227208.6569839348,503769.06973394245,830435.4947613282
Android-developer,1378003.4020845117,2067005.103126768,3445008.5052112793,116703.03784860557,484874.88373157586,798862.3673337526
Clojure-developer,1954697.7190827192,2932046.578624079,4886744.297706798,233727.35462735462,517245.5773955774,1043407.0638820638
SharePoint-developer,1476952.836462573,2215429.2546938597,3692382.0911564324,193578.724832845,427564.26780482306,810155.1206868759
Scala-developer,2151035.964929642,3226553.9473944637,5377589.912324107,246963.0864074517,711086.71254135,1244068.7242279993
R-developer,1622894.0645930427,2434341.096889564,4057235.1614826065,212892.40344872914,470209.3433101763,890103.5669353347
Dart-developer,1415608.011621315,2123412.017431973,3539020.0290532876,211005.8106575964,461465.34863945574,890611.8764172336
Redis-developer,1575122.880584858,2362684.3208772866,3937807.2014621445,232828.96784232365,513315.028526971,846581.2697241541
Spark-developer,2111263.6149474205,3166895.422421131,5278159.037368551,241726.4290375635,698699.0252370222,1221338.3975456278
Perl-developer,1959275.7311030878,2938913.5966546317,4898189.327757718,226625.58508238915,504160.6309868124,968258.4346364804
Objective-C-developer,1362337.1374036155,2043505.7061054232,3405842.8435090384,117332.7731092437,486121.9335440598,791587.8145194007
F#-developer,1923190.040933529,2884785.061400294,4807975.102333821,223461.96236559137,487242.1370967742,959163.1598240469
AngularJS-developer,1676947.2450580392,2515420.867587059,4192368.1126450975,215712.51448789117,476717.44037088996,922171.6519908053
Java-developer,1825145.703637618,2737718.555456427,4562864.2590940455,228145.82523858792,504291.1538972566,966995.6152506475
Python-developer,1455471.634783529,2183207.4521752936,3638679.086958822,122920.14765883039,512314.9560015199,843489.3149560728
"Windows-Phone"-developer,1728262.9411764706,2592394.411764706,4320657.352941176,259270.5882352941,543961.7647058824,928543.0147058824
Matlab-developer,1302841.6961501772,1954262.544225266,3257104.240375443,111018.6046511628,464447.1789253523,756010.1089435711
MongoDB-developer,1419906.1864498914,2129859.279674838,3549765.4661247293,122746.1447212337,509972.6914020922,825502.3067140313
Ruby-developer,1456709.0960136866,2185063.64402053,3641772.7400342165,123782.93241695303,517142.3809049301,844951.3134286648
JavaScript-developer,1352609.7123012862,2028914.5684519298,3381524.2807532162,118039.92940657401,479790.8234726442,787158.067615465
Go-developer,2111879.0513865533,3167818.57707983,5279697.628466383,240581.95189070672,532589.2431431178,1050471.6738539382
Node.js-developer,1426665.0496226978,2139997.5744340466,3566662.6240567444,121229.72972972973,502513.2692933898,827425.2551923322
"Visual-Basic"-developer,1226219.2296511629,1839328.8444767445,3065548.074127907,103488.9705882353,430783.45588235295,710551.2140902873
C-developer,1338968.2387036383,2008452.3580554572,3347420.5967590953,115754.67289719626,476702.4791444521,778346.2198818323
Cordova-developer,1270931.70786492,1906397.5617973802,3177329.2696622997,107717.30769230769,440327.22736124636,736687.2798087988
AWS-developer,1643217.4106965743,2464826.1160448617,4108043.5267414353,240492.43769356314,532818.8854451921,881543.018888235
Haskell-developer,1887613.8873626373,2831420.8310439563,4719034.718406593,237812.9120879121,530430.0824175824,1039719.5054945055
CoffeeScript-developer,1414186.0,2121279.0000000005,3535465.0,117800.0,503980.0,818350.0
