stack,SDLC2Year,SDLC3Year,SDLC5Year,SDLCOngoingAnnual,AgileFirstYear,AgileOngoingAnnual
Rust-developer,1818303.5528455286,2727455.329268293,4545758.882113822,235173.49593495936,522780.243902439,998395.487804878
PHP-developer,1243928.3787819657,1865892.5681729487,3109820.946954914,114379.0546802595,446349.53996431443,728915.3861848079
SharePoint-developer,1464066.249179614,2196099.373769421,3660165.622949035,191922.93298931228,422753.25194298476,803355.5010955965
Ruby-developer,1457873.8952252306,2186810.842837846,3644684.7380630756,123609.61123110152,516910.45009183546,845382.7582709584
Redis-developer,1591903.3150291576,2387854.9725437365,3979758.2875728942,234989.53905108484,519034.9722934414,855458.4197848334
Spark-developer,2100057.5164463925,3150086.2746695885,5250143.791115982,242133.41782779276,695178.9813698811,1214169.2467864547
JavaScript-developer,1351408.4083349851,2027112.6125024783,3378521.020837463,117958.52438516049,479906.79525266297,786492.1382213811
Hadoop-developer,2048248.5253892988,3072372.788083949,5120621.313473248,237647.89501885622,676919.3970783608,1183610.8710169015
Azure-developer,1543938.233721503,2315907.350582254,3859845.584303758,227263.6825021428,503112.95494587475,829297.8781075213
iOS-developer,1359120.8871511,2038681.33072665,3397802.2178777508,117366.12339930152,482674.62679506536,789921.4375923417
C-developer,1334320.7198964613,2001481.0798446923,3335801.7997411536,115380.88947600176,475103.60944010655,775669.4451203848
Haskell-developer,1897791.7923197495,2846687.6884796238,4744479.480799374,239295.53291536053,531941.144200627,1045656.5987460815
Node.js-developer,1424657.6682978394,2136986.50244676,3561644.170744598,121029.84344422701,503220.41171806457,826271.8383264113
F#-developer,1993276.4319923373,2989914.6479885057,4983191.079980843,230509.09961685824,502873.1321839081,995043.9655172413
SQL-developer,1303836.3320676046,1955754.4981014077,3259590.830169012,111147.75479783864,461497.51220369403,756541.8484820847
Java-developer,1824911.5384174462,2737367.307626169,4562278.846043617,228215.45241287583,504341.4296081185,966848.058473771
AWS-developer,1642462.1074125837,2463693.1611188753,4106155.2685314594,240438.7812338026,532635.5360789034,881176.3266000827
R-developer,1632024.500763404,2448036.7511451063,4080061.2519085105,214948.54669191618,475355.71150432003,894459.2430169252
Clojure-developer,1962856.4210090984,2944284.6315136477,4907141.052522747,234774.27626137302,517517.1836228288,1048730.328784119
Android-developer,1378420.4553651405,2067630.6830477116,3446051.138412852,118186.89320388349,487114.4009411965,800369.6107643528
C++-developer,1731573.0286187092,2597359.5429280642,4328932.571546773,225412.70705565426,497977.84719436005,950694.5339926141
"SQL-Server"-developer,1574917.2490573379,2362375.873586007,3937293.122643345,204558.42511736043,450959.2259693652,865191.0233835774
LAMP-developer,1224510.119753534,1836765.179630301,3061275.299383835,111137.0786516854,437060.45668720553,716258.8746647337
Salesforce-developer,1803121.4952288347,2704682.242843252,4507803.738072086,217646.7573291267,594892.0758712222,1038531.9393530639
Dart-developer,1416794.1493319164,2125191.2239978747,3541985.3733297903,209491.51229881565,457140.07743698754,893421.4118964471
Matlab-developer,1291989.8369175629,1937984.7553763445,3229974.5922939065,108405.55555555556,459406.39784946234,748269.7311827957
WordPress-developer,1048962.9700701716,1573444.4551052572,2622407.4251754284,100107.8947368421,377387.6906692318,617756.5391439217
"Visual-Basic"-developer,1210676.1683182744,1816014.252477412,3026690.420795686,105242.0,425699.8794326241,704120.7561449528
Objective-C-developer,1348353.2288634079,2022529.8432951123,3370883.0721585196,116718.67816091955,480395.06209626055,783938.3839438806
MongoDB-developer,1438719.5498259454,2158079.3247389183,3596798.8745648633,122950.34642032333,517660.5426719596,835272.2036067925
Swift-developer,1365416.42884152,2048124.6432622804,3413541.0721038007,118314.91002570694,483637.18616292154,793887.8812213626
AngularJS-developer,1675321.9416678806,2512982.9125018213,4188304.854169701,216494.46653635494,477035.4089548592,921051.9092244494
Arduino-developer,1321753.5745614036,1982630.3618421056,3304383.9364035088,119058.33333333333,459600.65789473685,772078.1578947369
C#-developer,1658599.3403753475,2487899.010563022,4146498.3509383695,215371.31827718148,476340.62902266555,910809.0767827639
"Windows-Phone"-developer,1725581.0,2588371.5,4313952.5,250690.0,518220.0,919560.0
Cordova-developer,1301094.982971281,1951642.4744569222,3252737.457428203,114246.25,452439.993556701,757539.7256995582
Cassandra-developer,2109729.4216586854,3164594.1324880277,5274323.554146713,241807.9220597673,697222.5128887936,1220346.4201998978
ReactJS-developer,1734387.5100280147,2601581.265042022,4335968.775070037,225351.89764814766,496791.3018005315,952752.1215158716
Perl-developer,1953385.850954292,2930078.7764314385,4883464.627385729,225486.76083020656,502929.82923282933,964562.4722716415
Raspberry-Pi-developer,1284589.5687645685,1926884.3531468534,3211473.9219114217,116853.33333333333,457934.5454545454,751607.8146853147
CoffeeScript-developer,1431041.6161616163,2146562.424242425,3577604.0404040404,122294.44444444444,509909.8484848485,830690.1515151515
Scala-developer,2155823.620458986,3233735.43068848,5389559.051147465,246948.47983187056,712210.3144213943,1247066.9428551686
Golang-developer,2085800.520313701,3128700.780470551,5214501.300784252,239357.78226758167,531001.8964984854,1034421.003052745
