Stack,Impact - Senior (7.5 years),Jobs - Senior,Avg. Salary - Senior (7.5 years),Chance of Hire - Senior (7.5 years),Impact - Mid (3.5 years),Jobs - Mid,Avg. Salary - Mid,Chance of Hire - Mid (3.5 years),Impact - Junior (1 year),Jobs - Mid,Avg. Salary - Mid,Chance of Hire - Junior (1 year),Impact - New (0 years),Jobs - Entry Level,Avg. Salary - New (0 years),Chance of Hire - New (0 years)
CoffeeScript,956.02,9,117800.0,1.0,2008.7333333333331,30,109093.33333333333,1.0,305.93333333333334,10,91780.0,1.0,305.93333333333334,10,91780.0,1.0,
Clojure,3911.470707070707,37,122624.32432432432,0.75,4342.850000000001,66,111103.0303030303,0.75,627.4125,22,114075.0,0.75,418.275,22,114075.0,0.5,
Rust,8793.64054307116,87,121125.28735632185,0.75,11230.202808988763,183,113133.33333333333,0.75,2208.35,89,99251.68539325842,0.75,1472.2333333333331,89,99251.68539325842,0.5,
Haskell,2739.288293650794,26,122005.76923076923,0.75,3651.491452991453,56,115807.14285714286,0.75,1060.4125,39,108760.2564102564,0.75,706.9416666666667,39,108760.2564102564,0.5,
F#,2313.576759530792,24,122095.83333333333,0.75,1780.2647727272727,31,101366.12903225806,0.75,264.7124999999999,11,96259.09090909091,0.75,176.475,11,96259.09090909091,0.5,
Raspberry-Pi,921.1959102564103,11,120631.81818181818,0.75,3030.788333333333,65,83515.38461538461,0.75,482.7875,25,77246.0,0.75,321.85833333333335,25,77246.0,0.5,
"Windows-Phone",213.85539215686273,2,155900.0,0.75,1008.7541666666667,17,103370.58823529411,0.75,100.4875,4,100487.5,0.75,66.99166666666667,4,100487.5,0.5,
Dart,3219.3433390022674,36,114368.05555555556,0.75,5172.542283950617,98,96637.75510204081,0.75,579.5875,27,85864.81481481482,0.75,386.3916666666667,27,85864.81481481482,0.5,
Cordova,2284.196459851681,26,107717.30769230769,0.75,8402.644191919191,158,92917.08860759494,0.75,741.3125,33,89856.06060606061,0.75,494.2083333333333,33,89856.06060606061,0.5,
Arduino,484.4006189285714,6,119058.33333333333,0.52475,1252.249295277778,28,95133.92857142857,0.52475,176.20230416666666,12,83945.83333333333,0.52475,30.824909999999996,12,83945.83333333333,0.0918,
